ANO_REFERENCIA;UF_ESCOLA;MUNICIPIO_ESCOLA;ESFERA_GOVERNO;LOCALIZACAO_ESCOLA;INEP_ESCOLA;NOME_ESCOLA;ALUNADO;TOTAL_RECEBIDO_ADESAO
2017;AC;Capixaba;Municipal;Rural;12026131;ESC JOSE SILVEIRA DA COSTA;55;R$3.621,00
2017;AC;Mâncio Lima;Municipal;Urbana;12032123;ESC PROFESSORA NEUSA AMANCIO SABINO;120;R$4.200,00
2017;AC;Marechal Thaumaturgo;Municipal;Rural;12002887;ESC PRAXEDES BRANDAO;104;R$27.330,00
2017;AC;Marechal Thaumaturgo;Municipal;Rural;12002828;ESC MARNIZIA CRUZ;158;R$8.538,00
2017;AC;Rodrigues Alves;Municipal;Rural;12020893;ESC JOSE SARAIVA DE FREITAS;51;R$12.123,00
2017;AC;Rodrigues Alves;Municipal;Rural;12003832;ESC MARGARIDA PEDREIRA;41;R$8.145,00
2017;AC;Porto Acre;Estadual;Rural;12015342;ESC JADER SARAIVA;80;R$8.080,00
2017;AC;Cruzeiro do Sul;Estadual;Rural;12001627;ESC VISCONDE DO RIO BRANCO;50;R$4.085,00
2017;AL;Anadia;Municipal;Urbana;27041352;ESCOLA MUNICIPAL DR GERALDO TENORIO SILVEIRA;180;R$32.745,00
2017;AL;Anadia;Municipal;Urbana;27041514;ESCOLA MUNICIPAL DR ULISSES BOTELHO;120;R$23.370,00
2017;AL;Arapiraca;Municipal;Urbana;27017150;ESCOLA DE ENSINO FUND CRISPINIANO F DE BRITO;80;R$11.088,00
2017;AL;Arapiraca;Municipal;Urbana;27016536;ESCOLA DE ENSINO FUNDAMENTAL JESUS REDENTOR;100;R$18.780,00
2017;AL;Arapiraca;Municipal;Rural;27017362;ESCOLA DE ENSINO FUND TEN CEL LAURY CAPISTRANO;120;R$34.200,00
2017;AL;Arapiraca;Municipal;Urbana;27016463;ESCOLA DE ENSINO FUND TIBURCIO VALERIANO DA SILVA;80;R$11.088,00
2017;AL;Atalaia;Municipal;Urbana;27220125;ESCOLA MUNICIPAL SUZANA CRAVEIRO COSTA DE MEDEIROS;280;R$56.040,00
2017;AL;Atalaia;Municipal;Urbana;27025683;ESCOLA DE ENSINO FUNDAMENTAL ANTONIO AMANCIO DE MELO BASTOS;600;R$102.990,00
2017;AL;Atalaia;Municipal;Rural;27026230;ESCOLA MUNICIPAL PADRE MEDEIROS NETO;90;R$20.520,00
2017;AL;Atalaia;Municipal;Rural;27025730;ESCOLA MUNICIPAL FRANCISCO DE ALBUQUERQUE PONTES;235;R$68.325,00
2017;AL;Atalaia;Municipal;Rural;27025675;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOAO CORDEIRO DE SOUZA JUNIOR;300;R$82.200,00
2017;AL;Atalaia;Municipal;Rural;27026353;ESCOLA MUNICIPAL JOSE MARTINS DE ALMEIDA;250;R$68.520,00
2017;AL;Barra de Santo Antônio;Municipal;Rural;27226492;ESCOLA MUNICIPAL BENEDITO CASADO DOS SANTOS;60;R$12.204,00
2017;AL;Barra de São Miguel;Municipal;Urbana;27034135;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA MEDEA CAVALCANTI DE ALBUQUERQUE;120;R$23.295,00
2017;AL;Belém;Municipal;Urbana;27011666;ESCOLA DE 1º E 2º GRAUS ARIZIO DE VASCONCELOS;455;R$53.343,00
2017;AL;Belo Monte;Municipal;Rural;27009572;ESCOLA MUNICIPAL JOAO JOSE DE MELO;74;R$20.370,00
2017;AL;Cacimbinhas;Municipal;Urbana;27012026;ESCOLA MUNICIPAL CORONEL DEZINHO DUARTE;341;R$56.340,00
2017;AL;Cacimbinhas;Municipal;Rural;27011984;ESCOLA MUNICIPAL JOSE CALADO CAVALCANTE;205;R$54.825,00
2017;AL;Cacimbinhas;Municipal;Rural;27012085;ESCOLA MUNICIPAL JOSE PINHEIRO DA SILVA;158;R$41.085,00
2017;AL;Cajueiro;Municipal;Urbana;27026973;ESCOLA MUNICIPAL DE EDUCACAO BASICA ANTONIO PALMERY S MELO;907;R$122.070,00
2017;AL;Cajueiro;Municipal;Urbana;27216713;ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE FEBRONIO RIBEIRO COSTA;176;R$37.200,00
2017;AL;Cajueiro;Municipal;Urbana;27027007;ESCOLA MUNICIPAL DE EDUCACAO BASICA ISAURA TOLEDO COSTA;52;R$13.740,00
2017;AL;Campestre;Municipal;Urbana;27221865;CENTRO DE ENS FUND MINISTRO RENAN CALHEIROS;200;R$37.560,00
2017;AL;Campo Grande;Municipal;Rural;27017680;ESCOLA DE ENSINO FUND MANOEL ISIDORO DA SILVA;94;R$16.398,00
2017;AL;Canapi;Municipal;Rural;27001210;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOSE FONSECA LINS;80;R$27.120,00
2017;AL;Capela;Municipal;Rural;27027155;ESCOLA MUNICIPAL DE EDUCACAO BASICA BARTOLOMEU FERREIRA DE MELO;292;R$68.310,00
2017;AL;Capela;Municipal;Rural;27027058;ESCOLA MUL DE EDUCACAO BASICA JOAO DE DEUS;118;R$34.170,00
2017;AL;Carneiros;Municipal;Rural;27004449;ESC MUNICIPAL DE ENSINO FUNDAMENTAL VER ABDON FRANCISCO DE LIMA;28;R$13.380,00
2017;AL;Craíbas;Municipal;Rural;27018172;ESCOLA DE ENSINO FUND PEDRO RAMOS FRANCISCO;125;R$34.275,00
2017;AL;Delmiro Gouveia;Municipal;Urbana;27003183;ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA DULCE CAVALCANTE FEITOZA;464;R$53.424,00
2017;AL;Delmiro Gouveia;Municipal;Rural;27003582;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSOR MANOEL JOSE GOMES CALACA;46;R$8.190,00
2017;AL;Delmiro Gouveia;Municipal;Urbana;27003558;ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE BEZERRA DA SILVA;537;R$61.857,00
2017;AL;Delmiro Gouveia;Municipal;Rural;27003523;ESCOLA MUNICIPAL DE EDUCACAO BASICA GAUDENCIO MARTINS LISBOA;31;R$8.055,00
2017;AL;Delmiro Gouveia;Municipal;Urbana;27218287;ESCOLA MUNICIPAL DE EDUCACAO BASICA NOEMIA BANDEIRA DA SILVA;474;R$53.514,00
2017;AL;Delmiro Gouveia;Municipal;Rural;27003574;ESCOLA MUNICIPAL DE EDUCACAO BASICA PADRE ANCHIETA;254;R$45.054,00
2017;AL;Delmiro Gouveia;Municipal;Rural;27003590;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSOR RAIMYSON SILVA NASCIMENTO;179;R$32.715,00
2017;AL;Delmiro Gouveia;Municipal;Urbana;27214907;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA VIRGILIA BEZERRA DE LIMA;769;R$87.273,00
2017;AL;Delmiro Gouveia;Municipal;Urbana;27003493;ESCOLA MUNICIPAL DE EDUCACAO BASICA ELISEU NORBERTO;343;R$39.375,00
2017;AL;Estrela de Alagoas;Municipal;Rural;27012530;ESCOLA MUNICIPAL JOAO MARIANO FILHO;60;R$20.340,00
2017;AL;Flexeiras;Municipal;Rural;27028178;GRUPO ESCOLAR NOSSA SRA DA CONCEICAO;50;R$13.710,00
2017;AL;Girau do Ponciano;Municipal;Rural;27019268;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA GENOVEVA MARIA DA COSTA;100;R$27.165,00
2017;AL;Girau do Ponciano;Municipal;Rural;27019110;ESCOLA MUNICIPAL DE EDUCACAO BASICA DEPUTADO ANTONIO HOLANDA;75;R$20.550,00
2017;AL;Girau do Ponciano;Municipal;Rural;27221547;ESCOLA MUNICIPAL DE EDUCACAO BASICA DOUTOR RICARDO VITORIO;100;R$27.255,00
2017;AL;Girau do Ponciano;Municipal;Rural;27019454;ESCOLA MUNICIPAL DE EDUCACAO BASICA MAJOR VICENTE RAMOS;50;R$13.710,00
2017;AL;Girau do Ponciano;Municipal;Rural;27221520;ESCOLA MUNICIPAL DE EDUCACAO BASICA SANTA IZABEL;100;R$27.405,00
2017;AL;Girau do Ponciano;Municipal;Rural;27019381;ESCOLA MUNICIPAL DE EDUCACAO BASICA SAO JOSE;50;R$13.710,00
2017;AL;Girau do Ponciano;Municipal;Rural;27019233;ESCOLA MUNICIPAL DE EDUCACAO BASICA SAO PEDRO;61;R$20.355,00
2017;AL;Girau do Ponciano;Municipal;Rural;27218260;ESCOLA MUNICIPAL DE EDUCACAO BASICA SAO SEBASTIAO;50;R$13.530,00
2017;AL;Girau do Ponciano;Municipal;Rural;27225500;ESCOLA MUNICIPAL DE EDUCACAO BASICA DOM HELDER CAMARA;75;R$20.535,00
2017;AL;Girau do Ponciano;Municipal;Urbana;27259005;ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR ANTONIO ALVES;100;R$18.750,00
2017;AL;Girau do Ponciano;Municipal;Urbana;27223868;ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE DE MESSIAS BARROS;150;R$27.975,00
2017;AL;Ibateguara;Municipal;Rural;27022870;ESCOLA MUNICIPAL DE ENSINO FUND PEDRO VELOSO;100;R$16.452,00
2017;AL;Ibateguara;Municipal;Urbana;27047555;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ELISA CALDAS;100;R$18.750,00
2017;AL;Igaci;Municipal;Rural;27220788;ESCOLA DE ENSINO FUND DOMINGOS PANTALEAO DA SILVA;80;R$20.490,00
2017;AL;Igaci;Municipal;Urbana;27218341;ESCOLA MUNICIPAL DE ENSINO FUND CASINHA FELIZ;200;R$37.500,00
2017;AL;Igaci;Municipal;Rural;27012735;ESCOLA MUL DE ENSINO FUND DESEMB JOAO DE O E SILVA;150;R$41.100,00
2017;AL;Igaci;Municipal;Rural;27012859;ESCOLA MUNICIPAL SAO VICENTE DE PAULA;80;R$20.535,00
2017;AL;Inhapi;Municipal;Rural;27001865;ESCOLA MUNICIPAL DE EDUCACAO BASICA SENADOR RUI PALMEIRA;30;R$3.990,00
2017;AL;Jacaré dos Homens;Municipal;Urbana;27009750;ESCOLA MUNICIPAL PEDRO ABILIO MADEIRO;373;R$70.095,00
2017;AL;Japaratinga;Municipal;Rural;27032299;ESCOLA DE 1º GRAU PADRE SIZENANDO;73;R$20.340,00
2017;AL;Japaratinga;Municipal;Rural;27225321;ESCOLA MUNICIPAL ESTACIO BUARQUE BANDEIRA;72;R$20.460,00
2017;AL;Jaramataia;Municipal;Urbana;27010023;ESCOLA MUNICIPAL DE EDUCACAO BASICA PREFEITO OLAVO BARBOSA;100;R$18.750,00
2017;AL;Jaramataia;Municipal;Rural;27009963;ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL BARBOSA FILHO;97;R$27.375,00
2017;AL;Joaquim Gomes;Municipal;Urbana;27252000;ESCOLA MUNICIPAL DE EDUCACAO BASICA SAO JOSE;100;R$5.610,00
2017;AL;Joaquim Gomes;Municipal;Urbana;27028860;ESCOLA MUNICIPAL DE EDUCACAO BASICO PROFª CICERA SANTOS MARINHO;100;R$18.690,00
2017;AL;Joaquim Gomes;Municipal;Urbana;27028852;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFª MARIA DO CARMO DE OLIVEIRA MELO;100;R$5.620,00
2017;AL;Lagoa da Canoa;Municipal;Urbana;27019594;ESCOLA DE ENS FUND DEPUTADO MANOEL PEREIRA FILHO;100;R$18.765,00
2017;AL;Lagoa da Canoa;Municipal;Urbana;27216764;ESCOLA DE ENS FUND GOVERNADOR LUIZ CAVALCANTE;80;R$18.465,00
2017;AL;Lagoa da Canoa;Municipal;Rural;27019691;ESCOLA DE ENS FUND DEPUTADO JOSE LUCIO DE MELO;133;R$40.830,00
2017;AL;Lagoa da Canoa;Municipal;Rural;27019543;ESCOLA DE ENS FUND JOAO ANGELINO DOS SANTOS;42;R$13.575,00
2017;AL;Limoeiro de Anadia;Municipal;Rural;27020134;ESCOLA MUNICIPAL DE EDUCACAO BASICA OLIVAL TENORIO COSTA NETO;88;R$20.295,00
2017;AL;Limoeiro de Anadia;Municipal;Rural;27020215;ESCOLA MUNICIPAL DE EDUCACAO BASICA PEDRO ARAUJO DOS SANTOS;74;R$20.415,00
2017;AL;Maceió;Municipal;Urbana;27035441;ESCOLA DE ENSINO FUNDAMENTAL SAGRADO CORACAO DE JESUS;151;R$19.503,00
